Date&Time;app1_conc [mg/l];app1_h [m];app1_t_water [C];Anomalietyp
19.10.2023 16:15;44,7;1,148;17,6;
19.10.2023 16:15;41,1;1,15;17,6;
19.10.2023 16:16;37,8;1,15;17,6;
19.10.2023 16:16;41,1;1,152;17,6;
19.10.2023 16:17;43;1,153;17,6;
19.10.2023 16:17;43,3;1,154;17,6;
19.10.2023 16:18;45,1;1,156;17,6;
19.10.2023 16:18;43,4;1,157;17,6;
19.10.2023 16:19;39,6;1,159;17,6;
19.10.2023 16:19;36;1,161;17,6;
19.10.2023 16:20;29,8;1,161;17,6;
19.10.2023 16:20;25,4;1,164;17,6;
19.10.2023 16:21;24,4;1,164;17,6;
19.10.2023 16:21;23,3;1,165;17,6;
19.10.2023 16:22;23,3;1,167;17,6;
19.10.2023 16:22;25,2;1,167;17,6;
19.10.2023 16:23;24;1,168;17,6;
19.10.2023 16:23;23,9;1,168;17,7;
19.10.2023 16:24;24,3;1,169;17,7;
19.10.2023 16:24;21,3;1,169;17,6;
19.10.2023 16:25;19,8;1,169;17,7;
19.10.2023 16:25;20,1;1,17;17,7;
19.10.2023 16:26;18,3;1,17;17,7;
19.10.2023 16:26;18,8;1,175;17,6;
19.10.2023 16:27;20,5;1,171;17,7;
19.10.2023 16:27;21,3;1,175;17,7;
19.10.2023 16:28;22,2;1,175;17,7;
19.10.2023 16:28;20,8;1,178;17,7;
19.10.2023 16:29;19,4;1,176;17,7;
19.10.2023 16:29;18,2;1,177;17,7;
19.10.2023 16:30;17;1,177;17,7;
19.10.2023 16:30;16,2;1,177;17,7;
19.10.2023 16:31;14,8;1,176;17,7;
19.10.2023 16:31;14,6;1,176;17,7;
19.10.2023 16:32;14,3;1,176;17,7;
19.10.2023 16:32;12;1,174;17,7;
19.10.2023 16:33;11,2;1,175;17,7;
19.10.2023 16:33;10,8;1,175;17,7;
19.10.2023 16:34;10,2;1,175;17,7;
19.10.2023 16:34;10,8;1,174;17,7;
19.10.2023 16:35;11,1;1,175;17,7;
19.10.2023 16:35;11,7;1,175;17,7;
19.10.2023 16:36;12,6;1,175;17,7;
19.10.2023 16:36;12,2;1,174;17,7;
19.10.2023 16:37;10,8;1,175;17,7;
19.10.2023 16:37;9,7;1,174;17,7;
19.10.2023 16:38;9,4;1,172;17,7;
19.10.2023 16:38;9,4;1,173;17,7;
19.10.2023 16:39;9,3;1,172;17,7;
19.10.2023 16:39;;;;D
19.10.2023 16:39;9;1,17;17,7;
19.10.2023 16:40;8,8;1,169;17,7;
19.10.2023 16:40;8,2;1,169;17,7;
19.10.2023 16:41;7,8;1,168;17,7;
19.10.2023 16:41;7,8;1,167;17,7;
19.10.2023 16:42;7,8;1,167;17,7;
19.10.2023 16:42;7,4;1,166;17,7;
19.10.2023 16:43;6,8;1,166;17,7;
19.10.2023 16:43;7,3;1,165;17,7;
19.10.2023 16:44;7,4;1,165;17,7;
19.10.2023 16:44;7;1,164;17,7;
19.10.2023 16:45;7,2;1,163;17,7;
19.10.2023 16:45;7,2;1,162;17,7;
19.10.2023 16:46;7,3;1,16;17,7;
19.10.2023 16:46;7,4;1,159;17,7;
19.10.2023 16:47;6,4;1,157;17,7;
19.10.2023 16:47;6,1;1,157;17,7;
19.10.2023 16:48;6,1;1,155;17,7;
19.10.2023 16:48;5,7;1,154;17,7;
19.10.2023 16:49;5,5;1,153;17,7;
19.10.2023 16:49;5,6;1,152;17,7;
19.10.2023 16:50;5,5;1,151;17,7;
19.10.2023 16:50;5,6;1,15;17,7;
19.10.2023 16:51;5,6;1,149;17,7;
19.10.2023 16:51;5,5;1,148;17,7;
19.10.2023 16:52;5,2;1,146;17,7;
19.10.2023 16:52;5,1;1,145;17,7;
19.10.2023 16:53;4,8;1,144;17,7;
19.10.2023 16:53;4,1;1,142;17,7;
19.10.2023 16:54;3,9;1,141;17,7;
19.10.2023 16:54;4,1;1,139;17,7;
19.10.2023 16:55;4,7;1,138;17,7;
19.10.2023 16:55;4,5;1,136;17,7;
19.10.2023 16:56;4,1;1,135;17,7;
19.10.2023 16:56;4,2;1,133;17,7;
19.10.2023 16:57;4,1;1,132;17,7;
19.10.2023 16:57;4;1,13;17,7;
19.10.2023 16:58;3,9;1,129;17,7;
19.10.2023 16:58;3,9;1,127;17,7;
19.10.2023 16:59;3,9;1,126;17,7;
19.10.2023 16:59;4,1;1,124;17,7;
19.10.2023 17:00;3,9;1,123;17,7;
19.10.2023 17:00;3,8;1,123;17,7;
19.10.2023 17:01;4;1,118;17,7;
